id,sku,name,url_key,url_path,availability,seller_id,seller_name,price,original_price,discount,discount_rate,review_count,rating_average,primary_category_path,primary_category_name,productset_id,thumbnail_url,seller_product_id,video_url
186625954,8107001867067,"Giỏ Đựng Miếng Rửa Chén, Khay Để Đồ Rửa Chén Bát Cao Cấp Parroti Tidy",gio-dung-mieng-rua-chen-khay-de-do-rua-chen-bat-cao-cap-parroti-tidy-p186625954,gio-dung-mieng-rua-chen-khay-de-do-rua-chen-bat-cao-cap-parroti-tidy-p186625954.html?spid=194143580,1,96639,Parroti Store,79000,149000,70000,47,370,5.0,1/2/1883/1951/1986/2514,Phụ kiện nhà bếp khác,4063,https://salt.tikicdn.com/cache/280x280/ts/product/d2/09/10/253ede3ced7280d6c92972f53089eec5.jpg,194143580,https://salt.tikicdn.com/ts/video/23/9b/2b/2b2d06ef9538de55cdbf8b8c1dff1c61.mp4
161501208,5852157188562,"Nồi inox cán dài Tefal Primary 16cm, 1.5L, dùng cho mọi loại bếp- Hàng chính hãng",noi-inox-can-dai-tefal-primary-16cm-1-5l-dung-cho-moi-loai-bep-hang-chinh-hang-p161501208,noi-inox-can-dai-tefal-primary-16cm-1-5l-dung-cho-moi-loai-bep-hang-chinh-hang-p161501208.html?spid=161501209,1,121435,Tefal Official Store - Chính hãng,269000,539000,270000,50,42,5.0,1/2/1883/1951/53052/2136,Nồi các loại,4013,https://salt.tikicdn.com/cache/280x280/ts/product/77/d8/c7/e22305832583cf9ae8ce3120572836f6.png,161501209,https://salt.tikicdn.com/ts/video/e8/bb/a6/4edc738de9d3a8de4b13879e466c8efa.mp4
12385988,3873859374915,Bộ KIT Phun Sương Tưới Cây 20 Béc Bằng Đồng Cao Cấp AZONE,bo-kit-phun-suong-tuoi-cay-20-bec-bang-dong-cao-cap-azone-p12385988,bo-kit-phun-suong-tuoi-cay-20-bec-bang-dong-cao-cap-azone-p12385988.html?spid=48279247,1,34902,CÔNG NGHỆ PHUN TƯỚI,120000,120000,0,0,167,4.5,1/2/1883/2223/3879/27180,Vòi nước và phụ kiện tưới cây,5037,https://salt.tikicdn.com/cache/280x280/ts/product/86/9c/bc/0fb0e4f5970acac76828dbecce55646d.png,48279247,
52885368,4506294663038,1 Kg túi zip chỉ đỏ thương hiệu Gimex II,1-kg-tui-zip-chi-do-thuong-hieu-gimex-ii-p52885368,1-kg-tui-zip-chi-do-thuong-hieu-gimex-ii-p52885368.html?spid=52885394,1,19256,Công ty TNHH LPS VINA,77000,129000,52000,40,221,5.0,1/2/1883/1951/23128/23134,"Túi, màng bọc thực phẩm",4351,https://salt.tikicdn.com/cache/280x280/ts/product/dc/c3/98/2aa20ce3276a64803a10c7a3ccfa830a.jpg,52885394,
174262175,9073833574921,Bát Sen Tắm Của Vòi Tắm Hoa Sen Nóng Lạnh Pimisi Với Tay Sen Bằng Nhựa Cao Cấp Mạ Xi Cr/Ni Màu Inox Sáng Bóng Kiểu Vuông Bo Tròn Góc - Ổn Định Nhiệt Độ Nước Nóng Lạnh Theo Công Nghệ Đầu Phun Tăng Áp Dạng Phun Mưa Tiết Kiệm Nước | Hàng Chính Hãng,bat-sen-tam-cua-voi-tam-hoa-sen-nong-lanh-pimisi-voi-tay-sen-bang-nhua-cao-cap-ma-xi-cr-ni-mau-inox-sang-bong-kieu-vuong-bo-tron-goc-on-dinh-nhiet-do-nuoc-nong-lanh-theo-cong-nghe-dau-phun-tang-ap-dang-phun-mua-tiet-kiem-nuoc-hang-chinh-hang-p174262175,bat-sen-tam-cua-voi-tam-hoa-sen-nong-lanh-pimisi-voi-tay-sen-bang-nhua-cao-cap-ma-xi-cr-ni-mau-inox-sang-bong-kieu-vuong-bo-tron-goc-on-dinh-nhiet-do-nuoc-nong-lanh-theo-cong-nghe-dau-phun-tang-ap-dang-phun-mua-tiet-kiem-nuoc-hang-chinh-hang-p174262175.html?spid=174262176,1,127298,Pimisi,124000,200000,76000,38,90,4.5,1/2/1883/1966/23264/27128,Vòi nước các loại,4995,https://salt.tikicdn.com/cache/280x280/ts/product/f3/1d/dd/7a24f4b1dc4afbc51e5f3cf5f313dbe7.jpg,174262176,https://salt.tikicdn.com/ts/video/9a/ab/c3/c659f6cb00c2f32187c62781ad4f1f00.mp4
175552777,9970049329930,Màn xếp thông minh gấp gọn Size 1m6 / 1m8 / 2m2 - Màn mùng lưới chống muỗi gấp gọn,man-xep-thong-minh-gap-gon-size-1m6-1m8-2m2-man-mung-luoi-chong-muoi-gap-gon-p175552777,man-xep-thong-minh-gap-gon-size-1m6-1m8-2m2-man-mung-luoi-chong-muoi-gap-gon-p175552777.html?spid=175552779,1,271118,Shop gia dụng toàn quốc,245000,245000,0,0,17,4.1,1/2/1883/8313/8314/53186,Phụ kiện phòng ngủ khác,4141,https://salt.tikicdn.com/cache/280x280/ts/product/53/7d/37/f93288a343a1ef5410f22fef43ffc900.jpg,175552779,https://salt.tikicdn.com/ts/video/37/45/3c/dfa6f1a77503f70a1cf2ec43dac4470e.mp4
162406191,8131912849897,Giấy lau mặt dùng 1 lần khăn mặt cotton khô cuộn giấy tẩy trang lau khô/lau ướt,giay-lau-mat-dung-1-lan-khan-mat-cotton-kho-cuon-giay-tay-trang-lau-kho-lau-uot-p162406191,giay-lau-mat-dung-1-lan-khan-mat-cotton-kho-cuon-giay-tay-trang-lau-kho-lau-uot-p162406191.html?spid=198097120,1,131238,Tổng Kho MB,17000,17297,297,2,3,3.3,1/2/1883/1966/2685,Khăn,4457,https://salt.tikicdn.com/cache/280x280/ts/product/2b/e4/a6/7142351bbdebbd7b4d6c94f841b4f5f9.jpg,198097120,
14632541,2897088844248,Cây vét bột silicon dạng thìa đúc 28cm (phới thìa),cay-vet-bot-silicon-dang-thia-duc-28cm-phoi-thia-p14632541,cay-vet-bot-silicon-dang-thia-duc-28cm-phoi-thia-p14632541.html?spid=72487743,1,144136,Thế giới pha chế,40000,40000,0,0,1,5.0,1/2/1883/1951/5433/5454,Dụng  cụ làm bánh khác,4117,https://salt.tikicdn.com/cache/280x280/ts/product/94/7e/fe/d48895b8ee597948104dee7707c6ce62.jpg,72487743,
214759102,9022484226504,Bộ Nồi chảo Handycook LocknLock 5 món (LHD1141 - LHD1142 - LHD1146 - LHD1163 - LHD1165),bo-noi-chao-handycook-locknlock-5-mon-p214759102,bo-noi-chao-handycook-locknlock-5-mon-p214759102.html?spid=214759105,1,1,Tiki Trading,701000,1452000,751000,52,5,4.0,1/2/1883/1951/53052/2136,Nồi các loại,4013,https://salt.tikicdn.com/cache/280x280/media/catalog/producttmp/79/e4/be/732107e8355870222506c5fd5391b222.jpg,214759105,
54485029,5484550822193,Đèn Bàn Học Đọc Sách LED Chống Cận 03 Chế Độ Ánh Sáng Bảo Vệ Mắt Có Hộp Bút Và Giá Để Điện Thoại eLights,den-ban-hoc-doc-sach-led-chong-can-03-che-do-anh-sang-bao-ve-mat-co-hop-but-va-gia-de-dien-thoai-elights-p54485029,den-ban-hoc-doc-sach-led-chong-can-03-che-do-anh-sang-bao-ve-mat-co-hop-but-va-gia-de-dien-thoai-elights-p54485029.html?spid=54485030,1,97355,Future Store,152000,220000,68000,31,472,4.5,1/2/1883/2015/2016,Đèn bàn,4003,https://salt.tikicdn.com/cache/280x280/ts/product/f3/59/4a/04b5c6caa890e2020a6e5aa5adfecfb6.jpg,54485030,https://salt.tikicdn.com/ts/video/87/42/4b/71fd6093997deb847fd140eee317e46f.mp4
67932480,5416502747377,Topper Everon White,topper-everon-white-p67932480,topper-everon-white-p67932480.html?spid=67932482,1,81485,ĐẠI LÝ NỆM ĐỨC LỢI,612000,680000,68000,10,439,4.7,1/2/1883/8313/6723/23388,Phụ kiện nệm,4585,https://salt.tikicdn.com/cache/280x280/ts/product/03/e1/78/03faedb0190c458428790b113aafefa3.jpg,67932482,
162189829,4988444252917,Nhang Xanh Phổ Thông 30cm 500g (Đỏ),nhang-xanh-pho-thong-30cm-500g-do-p162189829,nhang-xanh-pho-thong-30cm-500g-do-p162189829.html?spid=162189830,1,3280,Nhang Xanh Official,165000,165000,0,0,18,5.0,1/2/1883/23054/23078,"Hương, nhang",4309,https://salt.tikicdn.com/cache/280x280/ts/product/e7/9f/96/50d8a41dbf5c7112483c4945abbce1e8.jpg,162189830,
194570463,1241956995531,"Găng Tay Cao Su Nấu Ăn, Làm Bếp, Dọn Dẹp Siêu Dai, Siêu Bền",gang-tay-cao-su-nau-an-lam-bep-don-dep-sieu-dai-sieu-ben-p194570463,gang-tay-cao-su-nau-an-lam-bep-don-dep-sieu-dai-sieu-ben-p194570463.html?spid=194570465,1,17480,Ghế Nam Việt,29000,29000,0,0,28,4.6,1/2/1883/1966/23018/2238,Dụng cụ vệ sinh khác,4033,https://salt.tikicdn.com/cache/280x280/ts/product/dc/c4/8d/0ef79deba899f473e876ebe9b4f5ed99.jpg,194570465,
